Risk ID,Category,Asset/Process,Risk Statement,Likelihood,Impact,Inherent Risk,Treatment,Existing Controls,Residual Likelihood,Residual Impact,Residual Risk,Risk Owner,Target Date,Status,KRI
R-001,IAM,Privileged accounts,Compromised privileged credentials could allow unauthorized administrative access,4,5,20,Mitigate,MFA; privileged-role approval; logging,2,4,8,IT Security Lead,2026-10-15,In Progress,Privileged accounts without recent review
R-002,Vulnerability Management,Internet-facing systems,Unpatched critical vulnerabilities could be exploited against production services,4,5,20,Mitigate,Vulnerability scanning; patch process,2,4,8,Infrastructure Lead,2026-10-20,In Progress,Critical vulnerabilities past SLA
R-003,Cloud Security,Cloud configuration,Excessive cloud permissions or insecure configuration could expose customer resources,4,5,20,Mitigate,IAM policies; configuration monitoring,2,4,8,Cloud Security Lead,2026-10-25,Open,High-risk configuration findings
R-004,Logging & Monitoring,Security telemetry,Insufficient centralized logging could delay detection and investigation of security events,3,4,12,Mitigate,Central log collection; alerting,2,3,6,SOC Lead,2026-11-05,Open,Log-source coverage percentage
R-005,Third Party,Critical SaaS vendors,A supplier security failure could affect confidentiality or availability of business data,3,5,15,Mitigate,Vendor questionnaire; contract clauses,2,4,8,Procurement + GRC,2026-11-10,Open,Critical vendors with overdue review
R-006,Data Protection,Customer data,Unauthorized disclosure of sensitive customer data could create business and regulatory impact,3,5,15,Mitigate,Access control; encryption; classification,2,4,8,Data Protection Owner,2026-11-15,Open,Data-access exceptions
R-007,Business Continuity,Production platform,Failure of recovery capabilities could extend a service outage beyond agreed objectives,3,5,15,Mitigate,Backups; recovery procedures,2,3,6,IT Operations Lead,2026-11-20,Open,Successful restore-test rate
R-008,Endpoint Security,Employee endpoints,Malware infection on unmanaged or poorly protected endpoints could compromise corporate systems,3,4,12,Mitigate,Endpoint protection; device management,2,3,6,Endpoint Lead,2026-10-30,Open,Endpoint compliance rate
R-009,Change Management,Production changes,Unauthorized or insufficiently tested changes could introduce security or availability issues,3,4,12,Mitigate,Change approval; deployment workflow,2,3,6,Engineering Manager,2026-11-01,Open,Emergency changes as percentage of total
R-010,Incident Response,Security incidents,Unclear incident roles and escalation paths could increase response time and impact,3,4,12,Mitigate,Incident procedure; contact list,2,3,6,SOC Lead,2026-10-28,Open,Mean time to acknowledge
R-011,Security Awareness,Employees,Phishing or social-engineering attacks could lead to credential compromise or data exposure,4,3,12,Mitigate,Security awareness training; phishing simulations,2,2,4,HR + Security,2026-12-01,Open,Phishing simulation failure rate
R-012,Asset Management,Technology inventory,Incomplete asset inventory could cause security controls to be missed or applied inconsistently,3,4,12,Mitigate,Asset register; onboarding process,2,3,6,IT Operations Lead,2026-11-12,Open,Assets without owner
R-013,Backup & Recovery,Backups,Backup failure or corruption could reduce the ability to recover critical data,3,5,15,Mitigate,Backup monitoring; retention controls,2,3,6,Infrastructure Lead,2026-10-22,In Progress,Backup job failure rate
R-014,Access Governance,User access,Excessive or stale user access could allow unauthorized access to business applications,4,4,16,Mitigate,Joiner/mover/leaver process; periodic review,2,3,6,IAM Lead,2026-10-18,In Progress,Overdue access reviews
R-015,Policy & Governance,Security governance,Policies that are outdated or not linked to control ownership could weaken consistent security governance,3,3,9,Mitigate,Policy library; annual review,2,2,4,GRC Lead,2026-12-15,Open,Policies overdue for review
