Control ID,ISO 27001 Reference,Control Objective,Current-State Description,Evidence Available,Assessment,Gap,Risk ID,Priority,Recommended Action,Owner,Target Date
CTRL-01,A.5.1,Maintain approved information-security policies,"Policy exists but annual review evidence is not consistently retained",Policy document,Partially Effective,"Review/approval evidence incomplete",R-01,High,"Implement documented annual review and approval workflow",ISMS Owner,2026-10-31
CTRL-02,A.5.7,Identify and review relevant threat intelligence,"Threat-intelligence sources are informal and no periodic review record exists",No formal review log,Not Evidenced,"No documented threat-intelligence review process",R-02,Medium,"Define sources, owner, cadence and review record",Security Lead,2026-11-15
CTRL-03,A.5.15,Control access according to business and security requirements,"Central identity provider is used; access reviews are performed inconsistently",Sample access export,Partially Effective,"Quarterly recertification is not consistently evidenced",R-03,High,"Establish quarterly access certification and exception tracking",IAM Owner,2026-10-31
CTRL-04,A.5.18,Review and manage access rights,"Joiner/mover/leaver process exists but leaver evidence is fragmented",Ticket samples,Partially Effective,"Evidence is not centrally retained",R-04,High,"Centralize lifecycle tickets and access review evidence",IT Operations,2026-10-31
CTRL-05,A.5.19,Manage information security in supplier relationships,"Critical suppliers are listed but security due diligence varies by vendor",Supplier list,Partially Effective,"No consistent risk-based vendor assessment",R-05,High,"Implement TPRM tiering and minimum evidence requirements",Procurement + Security,2026-11-30
CTRL-06,A.5.23,Manage information security for cloud services,"Cloud responsibilities are understood but not formally mapped to controls",Cloud architecture note,Partially Effective,"Shared-responsibility control mapping incomplete",R-06,High,"Create cloud control matrix and ownership model",Cloud Owner,2026-11-30
CTRL-07,A.5.24,Plan and prepare for incident management,"Incident response procedure exists",IR procedure,Effective,"Tabletop exercise evidence is limited",R-07,Medium,"Run and document an incident-response tabletop",Security Lead,2026-12-15
CTRL-08,A.5.30,ICT readiness for business continuity,"Backups are configured; recovery objectives are not consistently documented",Backup configuration,Partially Effective,"Restore-test evidence and RTO/RPO mapping incomplete",R-08,High,"Document RTO/RPO and conduct restore testing",BCM Owner,2026-11-30
CTRL-09,A.6.3,Security awareness and training,"Annual security training is provided",Training completion report,Effective,"Role-specific training is limited",R-09,Medium,"Add role-based awareness for privileged and technical users",HR + Security,2026-12-15
CTRL-10,A.8.8,Manage technical vulnerabilities,"Vulnerability scanning is performed",Scan summary,Partially Effective,"Risk acceptance and remediation ageing are inconsistently documented",R-10,High,"Introduce vulnerability SLA, exception and ageing tracking",Vulnerability Owner,2026-10-31
CTRL-11,A.8.15,Log security-relevant events,"Central logging exists for selected systems",SIEM sample,Partially Effective,"Coverage and retention requirements are not formally mapped",R-11,Medium,"Create logging coverage matrix and retention standard",Security Operations,2026-11-30
CTRL-12,A.8.16,Monitor systems for anomalous activity,"SIEM alerts are monitored during business hours",Alert sample,Partially Effective,"After-hours escalation and monitoring coverage need documentation",R-12,Medium,"Define monitoring coverage and escalation responsibilities",Security Operations,2026-11-30
CTRL-13,A.8.24,Use cryptography appropriately,"Encryption is enabled for cloud storage and transport",Cloud configuration sample,Effective,"Key-management documentation needs improvement",R-13,Low,"Document cryptographic standards and key ownership",Cloud Owner,2026-12-15
CTRL-14,A.8.32,Manage changes,"Production changes require approval through ticketing",Change tickets,Effective,"Emergency-change evidence is not consistently categorized",R-14,Medium,"Add emergency-change classification and retrospective review",IT Operations,2026-11-15
CTRL-15,A.8.34,Protect information during audit testing,"Audit access is granted through temporary accounts where feasible",Access tickets,Partially Effective,"Temporary-access expiry evidence is inconsistent",R-15,Medium,"Automate or document temporary access expiry and review",IAM Owner,2026-11-15
