Activity ID,Processing Activity,Purpose,Data Subjects,Data Categories,Processing Basis / Condition,Recipients / Processors,Processing Location,Security Controls,Retention,Owner,DPIA Flag,Status
PIA-001,Customer Account Management,Provide and administer SaaS accounts,Customers and business contacts,Name; business email; role; account identifiers,Contract / service delivery,CRM; identity provider,India / global cloud,RBAC; MFA; encryption; logging,Contract term + 12 months,CRM Owner,No,Reviewed
PIA-002,Customer Support,Resolve support requests,Customers and support contacts,Name; email; support content; attachments,Contract / service delivery,ITSM platform,India / EEA support operations,RBAC; ticket permissions; logging,24 months after closure,Support Ops,No,Reviewed
PIA-003,Product Analytics,Measure product usage and improve UX,End users,User ID; usage events; device/browser metadata,Consent / configurable analytics basis,Analytics platform,Global SaaS region,Pseudonymisation; access control,12 months target,Data Platform Lead,Yes,Needs remediation
PIA-004,Marketing Communications,Send product updates and marketing messages,Leads and customers,Name; email; preferences; interaction history,Consent / applicable direct-marketing basis,Email service provider,Global SaaS region,Preference center; access control,Until withdrawal or review period,Marketing Ops,No,Reviewed
PIA-005,Employee HR Administration,Administer employment and benefits,Employees,Identity; contact; payroll-related data; HR records,Employment / legal obligations,HR platform; payroll processor,India,RBAC; encryption; restricted HR access,Defined by HR schedule,HR Systems Owner,No,Reviewed
PIA-006,Recruitment,Manage applicant pipeline,Applicants,CV; contact; employment history; interview notes,Recruitment processing basis,ATS provider,India / global cloud,RBAC; retention controls,6 months target,HR,No,Needs review
PIA-007,Security Monitoring,Detect and investigate security events,Users and employees,User ID; IP address; device identifiers; logs,Security purpose / applicable law,SIEM; endpoint provider,Global cloud region,SIEM; least privilege; logging,180 days hot + 12 months archive,SOC Manager,No,Reviewed
PIA-008,Billing & Invoicing,Invoice and reconcile payments,Customer contacts and billing users,Name; email; billing details; transaction references,Contract / legal obligations,Accounting system; payment processor,Defined by finance schedule,Finance Systems Owner,No,Reviewed
PIA-009,Vendor Management,Manage supplier due diligence,Vendor contacts,Name; email; role; due diligence information,Contract / legitimate business purpose,TPRM platform; procurement,India,RBAC; secure storage; evidence retention,Missing,Procurement Lead,No,Gap
PIA-010,Website Cookies & Preference Management,Operate site and optional analytics,Website visitors,Cookie IDs; device data; IP address; preferences,Consent where required; necessary cookies for core function,CMP / analytics providers,Global cloud region,CMP controls; consent logs,Missing,Web Product Owner,Yes,Gap
