Risk ID,Risk Statement,Asset/Process,Threat Scenario,Vulnerability/Weakness,Likelihood (1-5),Impact (1-5),Inherent Risk,Treatment,Residual Likelihood,Residual Impact,Residual Risk,Owner,Due Date,Status
R-01,Security policies may not remain current or formally approved,ISMS governance,Outdated policy is relied upon,Review/approval evidence is inconsistent,3,4,12,Mitigate,2,4,8,ISMS Owner,2026-10-31,Open
R-02,Emerging threats may not be identified and considered in time,Threat intelligence,Relevant threat information is missed,No formal threat-intelligence review cadence,3,4,12,Mitigate,2,3,6,Security Lead,2026-11-15,Open
R-03,Excessive access may remain active after business need changes,Identity and access management,Compromised or inappropriate account is used,Quarterly access certification is inconsistent,3,5,15,Mitigate,2,4,8,IAM Owner,2026-10-31,Open
R-04,Leaver access may not be removed consistently,Joiner/mover/leaver process,Former user retains access,Offboarding evidence is fragmented,3,5,15,Mitigate,1,5,5,IT Operations,2026-10-31,Open
R-05,A critical supplier may introduce security or privacy exposure,Third-party risk,Vendor compromise affects Northstar or customers,Due diligence is not risk-tiered,3,5,15,Mitigate,2,4,8,Procurement + Security,2026-11-30,Open
R-06,Cloud configuration or responsibility gaps may cause security exposure,Cloud services,Cloud service is misconfigured or control ownership is unclear,Shared-responsibility mapping incomplete,3,5,15,Mitigate,2,4,8,Cloud Owner,2026-11-30,Open
R-07,Incident response may be slower or inconsistent during a major event,Incident management,Security incident escalates without practiced response,Limited tabletop evidence,2,5,10,Mitigate,1,4,4,Security Lead,2026-12-15,Open
R-08,Recovery may not meet business expectations after a major outage,BCM/ICT readiness,Extended service outage or data loss,Restore testing and RTO/RPO mapping incomplete,3,5,15,Mitigate,2,4,8,BCM Owner,2026-11-30,Open
R-09,Users may not recognize role-specific security threats,Security awareness,User makes unsafe decision,Training is largely generic,3,3,9,Mitigate,2,2,4,HR + Security,2026-12-15,Open
R-10,Known vulnerabilities may remain open beyond acceptable risk tolerance,Vulnerability management,Known vulnerability is exploited,Remediation ageing and exceptions inconsistent,4,5,20,Mitigate,2,4,8,Vulnerability Owner,2026-10-31,Open
R-11,Insufficient log coverage may delay detection or investigation,Security logging,Relevant security event is not captured,Logging coverage not formally mapped,3,5,15,Mitigate,2,4,8,Security Operations,2026-11-30,Open
R-12,Monitoring gaps may delay escalation of anomalous activity,Security monitoring,Alert is missed outside coverage,After-hours escalation not fully documented,3,4,12,Mitigate,2,3,6,Security Operations,2026-11-30,Open
R-13,Weak cryptographic governance may create inconsistent protection,Encryption/key management,Sensitive information is exposed or keys are mishandled,Key-management documentation incomplete,2,5,10,Mitigate,1,4,4,Cloud Owner,2026-12-15,Open
R-14,Unauthorized or poorly controlled production changes may introduce outages or vulnerabilities,Change management,Unapproved change affects production,Emergency changes not consistently categorized,2,5,10,Mitigate,1,4,4,IT Operations,2026-11-15,Open
R-15,Temporary audit access may remain longer than required,Audit access,Audit account is misused after testing,Expiry evidence inconsistent,2,4,8,Mitigate,1,3,3,IAM Owner,2026-11-15,Open
